Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;501;
1419905499.5004994869;-81.027862548828125;-104.65618133544921875
1419907497.5024974346;-82.73578643798828125;-99.157257080078125
1419909495.5044953823;-88.51906585693359375;-92.509124755859375
1419911493.50649333;-88.4900054931640625;-91.0377349853515625
1419913491.5084912777;-89.290008544921875;-93.9393310546875
1419915489.5104892254;-89.35694122314453125;-98.210235595703125
1419917487.5124871731;-89.3043975830078125;-92.074615478515625
1419919485.5144851208;-86.38455963134765625;-89.9351654052734375
1419921483.5164830685;-83.516876220703125;-91.64041900634765625
1419923481.5184810162;-85.9862213134765625;-96.1009521484375
1419925479.5204789639;-84.33707427978515625;-88.73122406005859375
1419927477.5224769115;-84.7426300048828125;-87.66974639892578125
1419929475.5244748592;-87.9788818359375;-90.83428192138671875
1419931473.5264728069;-89.59514617919921875;-92.18178558349609375
1419933471.5284707546;-92.96401214599609375;-94.83112335205078125
1419935469.5304687023;-87.49433135986328125;-93.0713348388671875
1419937467.53246665;-84.92440032958984375;-94.61798095703125
1419939465.5344645977;-83.676025390625;-92.62018585205078125
1419941463.5364625454;-82.93167877197265625;-95.4116058349609375
1419943461.5384604931;-82.24723052978515625;-84.30716705322265625
1419945459.5404584408;-83.853973388671875;-88.38263702392578125
1419947457.5424563885;-86.01137542724609375;-87.6962127685546875
1419949455.5444543362;-84.01079559326171875;-84.50203704833984375
1419951453.5464522839;-83.32689666748046875;-84.58701324462890625
1419953451.5484502316;-87.6893157958984375;-89.8403167724609375
1419955449.5504481792;-84.254791259765625;-90.5836639404296875
1419957447.5524461269;-85.3295745849609375;-88.6837921142578125
1419959445.5544440746;-84.86016082763671875;-96.87146759033203125
1419961443.5564420223;-85.997039794921875;-91.4207305908203125
1419963441.55843997;-81.20635986328125;-96.85779571533203125
1419965439.5604379177;-80.806732177734375;-87.647735595703125
1419967437.5624358654;-82.92254638671875;-90.5234832763671875
1419969435.5644338131;-86.61712646484375;-96.88455963134765625
1419971433.5664317608;-88.03079986572265625;-92.601043701171875
1419973431.5684297085;-87.4211578369140625;-90.53823089599609375
1419975429.5704276562;-86.17678070068359375;-89.1444854736328125
