Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
1420097307.6923024654;-78.424560546875;-80.033660888671875
1420099305.6943004131;-79.58948516845703125;-81.07399749755859375
1420101303.6962983608;-82.24428558349609375;-86.3613739013671875
1420103301.6982963085;-83.07054901123046875;-98.1617889404296875
1420105299.7002942562;-80.178253173828125;-84.74788665771484375
1420107297.7022922039;-79.08362579345703125;-88.92584228515625
1420109295.7042901516;-83.804595947265625;-87.49793243408203125
1420111293.7062880993;-81.53713226318359375;-89.7593536376953125
1420113291.708286047;-82.04836273193359375;-92.42627716064453125
1420115289.7102839947;-83.00196075439453125;-90.66991424560546875
1420117287.7122819424;-80.244781494140625;-82.57169342041015625
1420119285.7142798901;-79.111358642578125;-83.5491180419921875
1420121283.7162778378;-81.31134033203125;-82.92458343505859375
1420123281.7182757854;-81.8053436279296875;-83.07286834716796875
1420125279.7202737331;-80.4819183349609375;-84.66778564453125
1420127277.7222716808;-83.05664825439453125;-84.34825897216796875
1420129275.7242696285;-86.5433502197265625;-88.894989013671875
1420131273.7262675762;-79.8588714599609375;-82.82903289794921875
1420133271.7282655239;-78.8306121826171875;-84.37665557861328125
1420135269.7302634716;-81.6065826416015625;-86.07909393310546875
1420137267.7322614193;-79.085968017578125;-83.478302001953125
1420139265.734259367;-78.8418731689453125;-83.820831298828125
1420141263.7362573147;-81.48708343505859375;-88.3953399658203125
1420143261.7382552624;-79.4744110107421875;-81.9387054443359375
1420145259.7402532101;-77.56817626953125;-80.18663787841796875
1420147257.7422511578;-79.9985198974609375;-84.48517608642578125
1420149255.7442491055;-82.4601898193359375;-90.94562530517578125
1420151253.7462470531;-74.34333038330078125;-81.35237884521484375
1420153251.7482450008;-61.22000885009765625;-61.22000885009765625
1420155249.7502429485;-58.816127777099609375;-58.816127777099609375
1420157247.7522408962;-63.7515411376953125;-63.7515411376953125
1420159245.7542388439;-80.261871337890625;-85.28949737548828125
1420161243.7562367916;-82.404296875;-85.396270751953125
1420163241.7582347393;-82.3726043701171875;-90.743988037109375
1420165239.760232687;-79.60050201416015625;-87.99700164794921875
1420167237.7622306347;-73.7477569580078125;-83.2419586181640625
1420169235.7642285824;-73.37862396240234375;-83.93316650390625
1420171233.7662265301;-75.78388214111328125;-88.54241180419921875
1420173231.7682244778;-79.12546539306640625;-85.647857666015625
1420175229.7702224255;-82.23058319091796875;-87.04509735107421875
1420177227.7722203732;-80.07110595703125;-86.85680389404296875
1420179225.7742183208;-80.6490936279296875;-82.484588623046875
1420181223.7762162685;-81.09342193603515625;-86.76793670654296875
1420183221.7782142162;-78.4279327392578125;-88.37004852294921875
1420185219.7802121639;-78.946929931640625;-84.892486572265625
1420187217.7822101116;-78.2717132568359375;-90.78586578369140625
1420189215.7842080593;-78.19512176513671875;-82.26674652099609375
1420191213.786206007;-80.37421417236328125;-83.4622802734375
1420193211.7882039547;-83.89715576171875;-86.67864990234375
1420195209.7902019024;-85.72464752197265625;-93.43768310546875
1420197207.7921998501;-81.2357940673828125;-85.062957763671875
1420199205.7941977978;-79.5237884521484375;-85.0878448486328125
1420201203.7961957455;-82.45911407470703125;-90.62700653076171875
1420203201.7981936932;-78.9276275634765625;-84.77365875244140625
1420205199.8001916409;-78.9364471435546875;-90.1278228759765625
1420207197.8021895885;-78.63500213623046875;-84.51601409912109375
1420209195.8041875362;-79.56067657470703125;-82.60297393798828125
1420211193.8061854839;-78.722625732421875;-81.45603179931640625
1420213191.8081834316;-76.88687896728515625;-85.0802459716796875
1420215189.8101813793;-78.49777984619140625;-83.3599700927734375
1420217187.812179327;-78.7284393310546875;-85.2333526611328125
1420219185.8141772747;-78.86730194091796875;-86.95973968505859375
1420221183.8161752224;-82.99953460693359375;-83.40784454345703125
1420223181.8181731701;-81.6222381591796875;-86.3005828857421875
1420225179.8201711178;-81.246673583984375;-85.82592010498046875
1420227177.8221690655;-80.9010772705078125;-86.45125579833984375
1420229175.8241670132;-76.761383056640625;-81.61725616455078125
1420231173.8261649609;-75.965911865234375;-85.38702392578125
1420233171.8281629086;-77.6943206787109375;-81.39650726318359375
1420235169.8301608562;-78.36055755615234375;-84.93332672119140625
1420237167.8321588039;-81.906494140625;-93.57575225830078125
1420239165.8341567516;-79.8062591552734375;-84.36891937255859375
1420241163.8361546993;-80.01932525634765625;-83.26380157470703125
1420243161.838152647;-80.0039215087890625;-82.90631103515625
1420245159.8401505947;-79.32757568359375;-81.95658111572265625
1420247157.8421485424;-81.00966644287109375;-82.5462646484375
1420249155.8441464901;-81.8156280517578125;-81.8156280517578125
1420251153.8461444378;-53.064601898193359375;-61.473545074462890625
1420253151.8481423855;-38.915012359619140625;-38.915012359619140625
1420255149.8501403332;-36.142547607421875;-36.142547607421875
1420257147.8521382809;-40.954372406005859375;-40.954372406005859375
1420259145.8541362286;-57.8063507080078125;-66.91376495361328125
1420261143.8561341763;-81.2170867919921875;-93.212982177734375
1420263141.8581321239;-81.94480133056640625;-90.23389434814453125
1420265139.8601300716;-80.33197021484375;-88.24587249755859375
1420267137.8621280193;-76.44671630859375;-81.3816070556640625
1420269135.864125967;-76.18804168701171875;-82.86612701416015625
1420271133.8661239147;-82.44217681884765625;-93.294586181640625
1420273131.8681218624;-82.7253875732421875;-84.21953582763671875
1420275129.8701198101;-81.24913787841796875;-89.9127349853515625
1420277127.8721177578;-79.4280242919921875;-83.5448760986328125
1420279125.8741157055;-78.635833740234375;-82.67607879638671875
1420281123.8761136532;-80.47925567626953125;-86.23957061767578125
1420283121.8781116009;-82.76079559326171875;-84.3423919677734375
1420285119.8801095486;-85.64865875244140625;-87.993408203125
1420287117.8821074963;-78.2813873291015625;-84.7086029052734375
1420289115.884105444;-76.95323944091796875;-80.3188934326171875
1420291113.8861033916;-81.26119232177734375;-85.0906219482421875
1420293111.8881013393;-85.75740814208984375;-91.4709320068359375
1420295109.890099287;-80.1727142333984375;-88.3097381591796875
1420297107.8920972347;-81.26445770263671875;-88.14438629150390625
1420299105.8940951824;-84.193450927734375;-87.13489532470703125
1420301103.8960931301;-80.5729522705078125;-90.89316558837890625
1420303101.8980910778;-76.3908233642578125;-84.38555145263671875
1420305099.9000890255;-77.31514739990234375;-81.67182159423828125
1420307097.9020869732;-76.7005615234375;-95.74179840087890625
1420309095.9040849209;-81.74729156494140625;-87.36181640625
1420311093.9060828686;-83.8865814208984375;-85.57117462158203125
1420313091.9080808163;-82.7274322509765625;-91.9466400146484375
1420315089.910078764;-84.3562774658203125;-90.4886627197265625
1420317087.9120767117;-83.389404296875;-85.55989837646484375
1420319085.9140746593;-77.58666229248046875;-84.79393768310546875
1420321083.916072607;-77.7622222900390625;-84.5619049072265625
1420323081.9180705547;-82.74227142333984375;-84.4704437255859375
1420325079.9200685024;-77.9683685302734375;-83.32636260986328125
1420327077.9220664501;-79.0479736328125;-87.70317840576171875
1420329075.9240643978;-85.30104827880859375;-88.1485595703125
1420331073.9260623455;-82.4338531494140625;-83.84435272216796875
1420333071.9280602932;-78.3889312744140625;-83.43221282958984375
1420335069.9300582409;-76.83261871337890625;-82.38333892822265625
1420337067.9320561886;-77.74106597900390625;-86.78386688232421875
1420339065.9340541363;-80.0409088134765625;-84.054840087890625
1420341063.936052084;-80.194732666015625;-86.12363433837890625
1420343061.9380500317;-80.8410797119140625;-87.3871612548828125
1420345059.9400479794;-79.09896087646484375;-89.01282501220703125
1420347057.942045927;-81.222076416015625;-83.51462554931640625
1420349055.9440438747;-41.702220916748046875;-59.680877685546875
1420351053.9460418224;-10.048099517822265625;-18.121660232543945313
1420353051.9480397701;4.4084734916687011719;4.4084734916687011719
1420355049.9500377178;7.5317196846008300781;7.5317196846008300781
1420357047.9520356655;3.2376520633697509766;3.2376520633697509766
1420359045.9540336132;-12.958322525024414063;-21.83026885986328125
1420361043.9560315609;-48.095668792724609375;-70.601348876953125
1420363041.9580295086;-82.6751251220703125;-97.818389892578125
1420365039.9600274563;-85.35497283935546875;-97.56549072265625
1420367037.962025404;-87.5427093505859375;-90.95015716552734375
1420369035.9640233517;-80.00591278076171875;-85.584808349609375
1420371033.9660212994;-78.5652923583984375;-84.3195648193359375
1420373031.9680192471;-81.679962158203125;-87.861236572265625
1420375029.9700171947;-84.5689697265625;-91.67667388916015625
1420377027.9720151424;-83.9458465576171875;-93.96012115478515625
1420379025.9740130901;-83.2575531005859375;-85.91236114501953125
1420381023.9760110378;-81.07427978515625;-89.23635101318359375
1420383021.9780089855;-85.68811798095703125;-89.0354766845703125
1420385019.9800069332;-82.71302032470703125;-85.6812744140625
1420387017.9820048809;-80.501861572265625;-85.39340972900390625
1420389015.9840028286;-80.3980712890625;-90.7239837646484375
1420391013.9860007763;-80.6550445556640625;-84.148834228515625
1420393011.987998724;-79.34381103515625;-83.5157470703125
1420395009.9899966717;-77.20391082763671875;-81.69408416748046875
1420397007.9919946194;-79.21656036376953125;-81.69219207763671875
1420399005.9939925671;-83.5093841552734375;-89.88918304443359375
1420401003.9959905148;-86.5895538330078125;-88.18090057373046875
1420403001.9979884624;-76.3492279052734375;-76.3492279052734375
1420404999.9999864101;-69.467315673828125;-69.467315673828125
1420406998.0019843578;-69.3363494873046875;-69.3363494873046875
1420408996.0039823055;-80.000030517578125;-80.000030517578125
1420410994.0059802532;-86.1071624755859375;-86.1071624755859375
1420412992.0079782009;-81.18364715576171875;-81.18364715576171875
1420414990.0099761486;-81.3168792724609375;-84.48004150390625
1420416988.0119740963;-82.30696868896484375;-90.44423675537109375
1420418986.013972044;-82.1431732177734375;-84.0859222412109375
1420420984.0159699917;-81.5818939208984375;-83.17295074462890625
1420422982.0179679394;-86.1364288330078125;-93.045745849609375
1420424980.0199658871;-82.077392578125;-107.54998016357421875
1420426978.0219638348;-81.3793182373046875;-82.753173828125
1420428976.0239617825;-77.694915771484375;-83.16521453857421875
1420430974.0259597301;-78.4738616943359375;-94.5340576171875
1420432972.0279576778;-80.48046112060546875;-88.8382110595703125
1420434970.0299556255;-80.75951385498046875;-85.49425506591796875
1420436968.0319535732;-83.55322265625;-85.17529296875
1420438966.0339515209;-79.983428955078125;-81.5708160400390625
1420440964.0359494686;-84.717071533203125;-87.64892578125
1420442962.0379474163;-86.59775543212890625;-102.683929443359375
1420444960.039945364;-85.51726531982421875;-89.11614227294921875
1420446958.0419433117;-84.18224334716796875;-85.471099853515625
1420448956.0439412594;-44.099559783935546875;-63.495250701904296875
1420450954.0459392071;-11.1340179443359375;-19.5083770751953125
1420452952.0479371548;3.9834413528442382813;3.9834413528442382813
1420454950.0499351025;7.5563397407531738281;7.5563397407531738281
1420456948.0519330502;3.7154641151428222656;3.7154641151428222656
1420458946.0539309978;-11.79892730712890625;-20.354679107666015625
1420460944.0559289455;-45.5096893310546875;-65.65484619140625
1420462942.0579268932;-81.73895263671875;-84.20688629150390625
1420464940.0599248409;-77.94705963134765625;-92.14813995361328125
1420466938.0619227886;-77.7523193359375;-88.1039886474609375
1420468936.0639207363;-80.0770111083984375;-83.8057098388671875
1420470934.065918684;-83.2667388916015625;-87.78575897216796875
1420472932.0679166317;-85.00846099853515625;-93.60047149658203125
1420474930.0699145794;-79.68013763427734375;-97.39629364013671875
1420476928.0719125271;-79.07358551025390625;-82.20397186279296875
1420478926.0739104748;-79.368743896484375;-81.33937835693359375
1420480924.0759084225;-78.2358551025390625;-84.44965362548828125
1420482922.0779063702;-81.92789459228515625;-87.779388427734375
1420484920.0799043179;-82.17746734619140625;-87.5018310546875
1420486918.0819022655;-78.48578643798828125;-82.02001190185546875
1420488916.0839002132;-78.99501800537109375;-85.042266845703125
1420490914.0858981609;-81.603057861328125;-89.1158599853515625
1420492912.0878961086;-77.158538818359375;-90.47321319580078125
1420494910.0898940563;-76.69797515869140625;-87.04339599609375
1420496908.091892004;-79.53907012939453125;-82.21566009521484375
1420498906.0938899517;-78.38629150390625;-86.196746826171875
1420500904.0958878994;-77.96909332275390625;-96.83901214599609375
1420502902.0978858471;-79.34816741943359375;-92.7667694091796875
1420504900.0998837948;-70.21404266357421875;-82.12047576904296875
1420506898.1018817425;-69.85886383056640625;-76.8368988037109375
1420508896.1038796902;-76.3448028564453125;-87.52849578857421875
1420510894.1058776379;-84.734100341796875;-87.2035369873046875
1420512892.1078755856;-84.84183502197265625;-87.48680877685546875
1420514890.1098735332;-80.43963623046875;-81.58097076416015625
1420516888.1118714809;-80.2841033935546875;-85.51363372802734375
1420518886.1138694286;-79.58058929443359375;-90.82784271240234375
1420520884.1158673763;-79.26645660400390625;-82.65457916259765625
1420522882.117865324;-84.0548553466796875;-86.47173309326171875
1420524880.1198632717;-85.049407958984375;-93.65830230712890625
1420526878.1218612194;-81.2080230712890625;-85.75408172607421875
1420528876.1238591671;-81.37371063232421875;-87.5673980712890625
1420530874.1258571148;-82.22368621826171875;-86.742034912109375
1420532872.1278550625;-80.8969879150390625;-87.34081268310546875
1420534870.1298530102;-82.23299407958984375;-88.3850860595703125
1420536868.1318509579;-81.50557708740234375;-94.48830413818359375
1420538866.1338489056;-77.5948028564453125;-97.6135406494140625
1420540864.1358468533;-75.8499908447265625;-87.8653106689453125
1420542862.1378448009;-76.275665283203125;-91.33978271484375
1420544860.1398427486;-81.784210205078125;-87.59706878662109375
1420546858.1418406963;-83.7750396728515625;-86.64733123779296875
1420548856.143838644;-84.27337646484375;-86.249176025390625
1420550854.1458365917;-56.8916015625;-65.9445343017578125
1420552852.1478345394;-40.857242584228515625;-40.857242584228515625
1420554850.1498324871;-36.79559326171875;-36.79559326171875
1420556848.1518304348;-40.187465667724609375;-40.187465667724609375
1420558846.1538283825;-55.24321746826171875;-63.925479888916015625
1420560844.1558263302;-80.00386810302734375;-88.8178253173828125
1420562842.1578242779;-80.09053802490234375;-81.725006103515625
1420564840.1598222256;-78.28249359130859375;-89.37220001220703125
1420566838.1618201733;-79.69171905517578125;-85.32158660888671875
1420568836.163818121;-81.19910430908203125;-86.61011505126953125
1420570834.1658160686;-80.9822540283203125;-83.28569793701171875
1420572832.1678140163;-81.03902435302734375;-88.020050048828125
1420574830.169811964;-82.66188812255859375;-86.6681365966796875
1420576828.1718099117;-80.08563995361328125;-82.2987060546875
1420578826.1738078594;-80.66527557373046875;-85.258758544921875
1420580824.1758058071;-84.69353485107421875;-87.73612213134765625
1420582822.1778037548;-83.01656341552734375;-85.9789886474609375
1420584820.1798017025;-82.2459869384765625;-83.30246734619140625
1420586818.1817996502;-84.2457275390625;-85.33272552490234375
1420588816.1837975979;-85.30147552490234375;-94.67507171630859375
1420590814.1857955456;-81.8861541748046875;-84.3579864501953125
1420592812.1877934933;-79.90180206298828125;-89.96646881103515625
