Type;FSVA3044;
Version;1.31;
Date;24.Mar 2026;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;1420405000.000000;Hz
Freq Offset;0.000000;Hz
Start;1419905000.000000;Hz
Stop;1420905000.000000;Hz
Span;1000000.000000;Hz
Ref Level;20.000000;dBm
Level Offset;0.000000;dB
Rf Att;30.000000;dB
El Att;0.000000;dB
RBW;3000.000000;Hz
VBW;1000.000000;Hz
SWT;0.002100;s
Sweep Count;0;
Window;1;TOI
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;1;
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Values;501;
1419905499.5004994869;-86.9638824462890625;-91.9029998779296875
1419907497.5024974346;-89.70858001708984375;-91.68346405029296875
1419909495.5044953823;-87.545989990234375;-89.2004852294921875
1419911493.50649333;-85.4821624755859375;-88.86151885986328125
1419913491.5084912777;-84.82805633544921875;-87.31707000732421875
1419915489.5104892254;-87.70279693603515625;-93.0489044189453125
1419917487.5124871731;-88.981353759765625;-90.67961883544921875
1419919485.5144851208;-88.69939422607421875;-91.58989715576171875
1419921483.5164830685;-89.24468231201171875;-95.51732635498046875
1419923481.5184810162;-81.80225372314453125;-84.54016876220703125
1419925479.5204789639;-81.26543426513671875;-85.047637939453125
1419927477.5224769115;-86.55580902099609375;-88.2707061767578125
1419929475.5244748592;-88.09470367431640625;-90.86746978759765625
1419931473.5264728069;-87.32076263427734375;-90.2994537353515625
1419933471.5284707546;-84.29735565185546875;-93.22350311279296875
1419935469.5304687023;-81.406341552734375;-86.23783111572265625
1419937467.53246665;-82.45554351806640625;-86.03325653076171875
1419939465.5344645977;-87.0222625732421875;-87.5844879150390625
1419941463.5364625454;-84.61417388916015625;-89.36798858642578125
1419943461.5384604931;-82.3020477294921875;-85.8592376708984375
1419945459.5404584408;-81.78830718994140625;-88.066436767578125
1419947457.5424563885;-85.11251068115234375;-88.05004119873046875
1419949455.5444543362;-86.3456268310546875;-90.24591064453125
1419951453.5464522839;-84.3850555419921875;-100.69246673583984375
1419953451.5484502316;-85.7480010986328125;-98.16937255859375
1419955449.5504481792;-86.7530975341796875;-90.5373077392578125
1419957447.5524461269;-85.810150146484375;-94.40839385986328125
1419959445.5544440746;-87.06220245361328125;-103.189117431640625
1419961443.5564420223;-87.5470733642578125;-90.7391510009765625
1419963441.55843997;-86.8933258056640625;-92.5787506103515625
1419965439.5604379177;-88.90010833740234375;-90.92459869384765625
1419967437.5624358654;-90.224090576171875;-94.5099945068359375
1419969435.5644338131;-86.06243896484375;-90.6959686279296875
1419971433.5664317608;-85.1426544189453125;-91.07061767578125
1419973431.5684297085;-84.4922637939453125;-88.40001678466796875
1419975429.5704276562;-88.2648162841796875;-91.8141937255859375
